Names,Indian,Salary
Louise,Elise,149853282.380952
Doris,TRUE,151280108.428571
Mabel,Katie,152706934.47619
Beatrice,Thelma,154133760.523809
Myrtle,TRUE,155560586.571428
Kathleen,FALSE,156987412.619047
Lena,Rebecca,158414238.666666
Muriel,TRUE,159841064.714285
Nellie,TRUE,161267890.761904
Jane,FALSE,162694716.809523
Maxine,TRUE,164121542.857142
Roberta,FALSE,165548368.904761
Miriam,TRUE,166975194.95238
Ada,TRUE,168402021
Gloria,FALSE,169828847.047619
Flora,TRUE,171255673.095238
Rosalie,Katie,172682499.142857
Cecile,Thelma,174109325.190476
Daisy,TRUE,175536151.238095
Fannie,FALSE,176962977.285714
Aileen,Elise,178389803.333333
Lee,TRUE,179816629.380952
Lenore,Katie,181243455.428571
Willie,Thelma,182670281.47619
Celia,TRUE,184097107.523809
Ila,FALSE,185523933.571428
Lydia,Elise,186950759.619047
Helen,TRUE,188377585.666666
Anna,Katie,189804411.714285
Mae,Thelma,191231237.761904
Ruby,TRUE,192658063.809523
Emma,FALSE,194084889.857142
Vivian,Rebecca,195511715.904761
Madeline,TRUE,196938541.95238
Verna,TRUE,198365367.999999
Marcella,FALSE,199792194.047619
Rosa,TRUE,201219020.095238
Elaine,FALSE,202645846.142857
Francis,TRUE,204072672.190476
Lina,TRUE,205499498.238095
Margie,FALSE,206926324.285714
Mary,TRUE,208353150.333333
Helen,Katie,209779976.380952
Hazel,Thelma,211206802.428571
Josephine,TRUE,212633628.47619
Emma,FALSE,214060454.523809
Martha,Elise,215487280.571428
Ida,TRUE,216914106.619047
Lois,Katie,218340932.666666
Lydia,Thelma,219767758.714285
Frieda,TRUE,221194584.761904
Leona,FALSE,222621410.809523
Carmen,Rebecca,224048236.857142
Caroline,TRUE,225475062.904761
Rose,TRUE,226901888.95238
Eva,FALSE,228328714.999999
Vera,TRUE,229755541.047618
Emily,FALSE,231182367.095238
Velma,TRUE,232609193.142857
Sarah,TRUE,234036019.190476
Olga,FALSE,235462845.238095
Lola,TRUE,236889671.285714
Shirley,Katie,238316497.333333
Beulah,Thelma,239743323.380952
Bertha,TRUE,241170149.428571
Nellie,FALSE,242596975.47619
Madeline,Elise,244023801.523809
Sylvia,TRUE,245450627.571428
Ada,Katie,246877453.619047
Annie,Thelma,248304279.666666
Flora,TRUE,249731105.714285
Phyllis,FALSE,251157931.761904
Gertrude,Rebecca,252584757.809523
Sarah,TRUE,254011583.857142
Viola,TRUE,255438409.904761
Charlotte,FALSE,256865235.95238
Celia,TRUE,258292061.999999
Amelia,FALSE,259718888.047618
Harriet,TRUE,261145714.095238
Jeannette,TRUE,262572540.142857
Viola,FALSE,263999366.190476
Josephine,TRUE,265426192.238095
Mary,Katie,266853018.285714
Helen,Thelma,268279844.333333
Frances,TRUE,269706670.380952
Grace,FALSE,271133496.428571
Audrey,Elise,272560322.47619
Alice,TRUE,273987148.523809
Irene,Katie,275413974.571428
Lillian,Thelma,276840800.619047
Ruth,TRUE,278267626.666666
Agnes,FALSE,279694452.714285
Gertrude,Elise,281121278.761904
Margaret,TRUE,282548104.809523
Gladys,Katie,283974930.857142
Louise,Thelma,285401756.904761
Mary,TRUE,286828582.95238
Ruth,FALSE,288255408.999999
Beatrice,Rebecca,289682235.047618
Anna,TRUE,291109061.095237
Clara,TRUE,292535887.142857
Vera,FALSE,293962713.190476
Sadie,TRUE,295389539.238095
Leona,FALSE,296816365.285714
Eleanor,TRUE,298243191.333333
Etta,TRUE,299670017.380952
Rosetta,FALSE,301096843.428571
Carmen,TRUE,302523669.47619
Naomi,Katie,303950495.523809
Idella,Thelma,305377321.571428
Sara,TRUE,306804147.619047
Audrey,FALSE,308230973.666666
Belle,Elise,309657799.714285
Caroline,TRUE,311084625.761904
Bessie,Katie,312511451.809523
Marie,Thelma,313938277.857142
Martha,TRUE,315365103.904761
Sarah,FALSE,316791929.95238
Cora,Rebecca,318218755.999999
Hattie,TRUE,319645582.047618
Ollie,TRUE,321072408.095237
Christina,FALSE,322499234.142856
Hettie,TRUE,323926060.190476
Pearlie,FALSE,325352886.238095
Jean,TRUE,326779712.285714
Mattie,TRUE,328206538.333333
Ruby,FALSE,329633364.380952
Eva,TRUE,331060190.428571
Ella,Katie,332487016.47619
Dorothy,Thelma,333913842.523809
Ola,TRUE,335340668.571428
Johnnie,FALSE,336767494.619047
Estelle,Elise,338194320.666666
Hazel,TRUE,339621146.714285
Lottie,Katie,341047972.761904
Maude,Thelma,342474798.809523
Ada,TRUE,343901624.857142
Leila,FALSE,345328450.904761
Eloise,Rebecca,346755276.95238
Stella,TRUE,348182102.999999
Henrietta,TRUE,349608929.047618
Cornelia,FALSE,351035755.095237
Mozelle,TRUE,352462581.142856
Maudie,FALSE,353889407.190476
Mozell,TRUE,355316233.238095
Cecil,TRUE,356743059.285714
Lorine,FALSE,358169885.333333
Bell,TRUE,359596711.380952
Lue,Katie,361023537.428571
Mittie,Thelma,362450363.47619
Ozie,TRUE,363877189.523809
Ester,FALSE,365304015.571428
Lenora,Elise,366730841.619047
Adelaide,TRUE,368157667.666666
Birtha,Katie,369584493.714285
Elease,Thelma,371011319.761904
Madie,TRUE,372438145.809523
Rosa,FALSE,373864971.857142
Marie,Elise,375291797.904761
Alice,TRUE,376718623.95238
Mildred,Katie,378145449.999999
Josephine,Thelma,379572276.047618
Janie,TRUE,380999102.095237
Gussie,FALSE,382425928.142856
Jennie,Rebecca,383852754.190475
Anne,TRUE,385279580.238094
Marjorie,TRUE,386706406.285714
Olivia,FALSE,388133232.333333
Tommie,TRUE,389560058.380952
Elma,FALSE,390986884.428571
Bennie,TRUE,392413710.47619
Ina,TRUE,393840536.523809
Johnie,FALSE,395267362.571428
Matilda,TRUE,396694188.619047
George,Katie,398121014.666666
Bettie,Thelma,399547840.714285
Ceola,TRUE,400974666.761904
Gertie,FALSE,402401492.809523
Kizzie,Elise,403828318.857142
Linda,TRUE,405255144.904761
Patsy,Katie,406681970.95238
Pennie,Thelma,408108796.999999
Priscilla,TRUE,409535623.047618
Alice,FALSE,410962449.095237
Shizuko,Rebecca,412389275.142856
Yoshiko,TRUE,413816101.190475
Emma,TRUE,415242927.238094
Mildred,FALSE,416669753.285714
Mabel,TRUE,418096579.333333
Marie,FALSE,419523405.380952
Ellen,TRUE,420950231.428571
Frances,TRUE,422377057.47619
Josephine,FALSE,423803883.523809
Gladys,TRUE,425230709.571428
Laura,Katie,426657535.619047
Lydia,Thelma,428084361.666666
Margaret,TRUE,429511187.714285
Grace,FALSE,430938013.761904
Ruby,Elise,432364839.809523
Marjorie,TRUE,433791665.857142
Wilma,Katie,435218491.904761
Pauline,Thelma,436645317.95238
Virginia,TRUE,438072143.999999
Loretta,FALSE,439498970.047618
Ida,Rebecca,440925796.095237
Kathryn,TRUE,442352622.142856
Mae,TRUE,443779448.190475
Jean,FALSE,445206274.238094
Alberta,TRUE,446633100.285713
Theresa,FALSE,448059926.333333
Lillie,TRUE,449486752.380952
Ione,TRUE,450913578.428571
Nettie,FALSE,452340404.47619
Sophie,TRUE,453767230.523809
Winona,Katie,455194056.571428
Arline,Thelma,456620882.619047
Elma,TRUE,458047708.666666
Myrtle,FALSE,459474534.714285
Ellen,Elise,460901360.761904
Violet,TRUE,462328186.809523
Inez,Katie,463755012.857142
Harriet,Thelma,465181838.904761
Lula,TRUE,466608664.95238
Bonnie,FALSE,468035490.999999
Joyce,Elise,469462317.047618
Adeline,TRUE,470889143.095237
Carol,Katie,472315969.142856
Elaine,Thelma,473742795.190475
Fay,TRUE,475169621.238094
Mamie,FALSE,476596447.285713
Clarice,Rebecca,478023273.333333
Edythe,TRUE,479450099.380952
Susie,TRUE,480876925.428571
Florence,FALSE,482303751.47619
Emma,TRUE,483730577.523809
Martha,FALSE,485157403.571428
Evelyn,TRUE,486584229.619047
Pauline,TRUE,488011055.666666
Ethel,FALSE,489437881.714285
Blanche,TRUE,490864707.761904
Lucille,Katie,492291533.809523
Beatrice,Thelma,493718359.857142
Flora,TRUE,495145185.904761
Betty,FALSE,496572011.95238
Emma,Elise,497998837.999999
Ida,TRUE,499425664.047618
Goldie,Katie,500852490.095237
Inez,Thelma,502279316.142856
Patricia,TRUE,503706142.190475
Faye,FALSE,505132968.238094
Dolores,Rebecca,506559794.285713
Eula,TRUE,507986620.333332
Lula,TRUE,509413446.380952
Elvira,FALSE,510840272.428571
Effie,TRUE,512267098.47619
Janet,FALSE,513693924.523809
Aline,TRUE,515120750.571428
Elisabeth,TRUE,516547576.619047
Christina,FALSE,517974402.666666
Clarice,TRUE,519401228.714285
Hope,Katie,520828054.761904
Blanch,Thelma,522254880.809523
Hortense,TRUE,523681706.857142
Louella,FALSE,525108532.904761
Anna,Elise,526535358.95238
Rose,TRUE,527962184.999999
Catherine,Katie,529389011.047618
Edith,Thelma,530815837.095237
Bertha,TRUE,532242663.142856
Stella,FALSE,533669489.190475
Kathryn,Rebecca,535096315.238094
Lois,TRUE,536523141.285713
Theresa,TRUE,537949967.333332
Blanche,FALSE,539376793.380952
Juanita,TRUE,540803619.42857
June,FALSE,542230445.47619
Phyllis,TRUE,543657271.523809
Celia,TRUE,545084097.571428
Christine,FALSE,546510923.619047
Winifred,TRUE,547937749.666666
Lorene,Katie,549364575.714285
Maxine,Thelma,550791401.761904
Mamie,TRUE,552218227.809523
Teresa,FALSE,553645053.857142
Zelma,Elise,555071879.904761
Nell,TRUE,556498705.95238
Claire,Katie,557925531.999999
Kay,Thelma,559352358.047618
Berniece,TRUE,560779184.095237
Mercedes,FALSE,562206010.142856
Albina,Elise,563632836.190475
Janice,TRUE,565059662.238094
Delphine,Katie,566486488.285713
Gloria,Thelma,567913314.333332
Helena,TRUE,569340140.380952
Rosie,FALSE,570766966.42857
Valeria,Rebecca,572193792.47619
Winnie,TRUE,573620618.523809
Adrienne,TRUE,575047444.571428
Beth,FALSE,576474270.619047
Margaret,TRUE,577901096.666666
Thelma,FALSE,579327922.714285
Pauline,TRUE,580754748.761904
Clara,TRUE,582181574.809523
Mabel,FALSE,583608400.857142
Gertrude,TRUE,585035226.904761
Elsie,Katie,586462052.95238
Fern,Thelma,587888878.999999
Stella,TRUE,589315705.047618
Ella,FALSE,590742531.095237
Dora,Elise,592169357.142856
Ada,TRUE,593596183.190475
Carolyn,Katie,595023009.238094
Dorotha,Thelma,596449835.285713
Maude,TRUE,597876661.333332
Luella,FALSE,599303487.380951
Estella,Rebecca,600730313.42857
Lottie,TRUE,602157139.476189
May,TRUE,603583965.523809
Amy,FALSE,605010791.571428
Phyllis,TRUE,606437617.619047
Cecile,FALSE,607864443.666666
Rosemary,TRUE,609291269.714285
Zella,TRUE,610718095.761904
Dorothy,FALSE,612144921.809523
Lois,TRUE,613571747.857142
Genevieve,Katie,614998573.904761
Inez,Thelma,616425399.95238
Pearl,TRUE,617852225.999999
Marguerite,FALSE,619279052.047618
Myrtle,Elise,620705878.095237
Bonnie,TRUE,622132704.142856
Hallie,Katie,623559530.190475
Janice,Thelma,624986356.238094
Eileen,TRUE,626413182.285713
Etta,FALSE,627840008.333332
Katie,Rebecca,629266834.380951
Elma,TRUE,630693660.42857
Gertrude,TRUE,632120486.476189
Katherine,FALSE,633547312.523809
Norma,TRUE,634974138.571428
Audrey,FALSE,636400964.619047
Cora,TRUE,637827790.666666
Stella,TRUE,639254616.714285
Etta,FALSE,640681442.761904
Fannie,TRUE,642108268.809523
Leota,Katie,643535094.857142
Marcella,Thelma,644961920.904761
Muriel,TRUE,646388746.95238
Neva,FALSE,647815572.999999
Olga,Elise,649242399.047618
Theresa,TRUE,650669225.095237
Velma,Katie,652096051.142856
Elizabeth,Thelma,653522877.190475
Bertha,TRUE,654949703.238094
Nellie,FALSE,656376529.285713
Martha,Elise,657803355.333332
Marjorie,TRUE,659230181.380951
Mabel,Katie,660657007.42857
Betty,Thelma,662083833.476189
Olive,TRUE,663510659.523808
Amy,FALSE,664937485.571428
Harriet,Rebecca,666364311.619047
Maurine,TRUE,667791137.666666
Wanda,TRUE,669217963.714285
Christine,FALSE,670644789.761904
Crystal,TRUE,672071615.809523
Effie,FALSE,673498441.857142
Rita,TRUE,674925267.904761
Marian,TRUE,676352093.95238
Dorothea,FALSE,677778919.999999
Nettie,TRUE,679205746.047618
Ola,Katie,680632572.095237
Georgia,Thelma,682059398.142856
Beatrice,TRUE,683486224.190475
Opal,FALSE,684913050.238094
Nora,Elise,686339876.285713
Jessie,TRUE,687766702.333332
Josephine,Katie,689193528.380951
Nettie,Thelma,690620354.42857
Eliza,TRUE,692047180.476189
Nell,FALSE,693474006.523808
Verna,Rebecca,694900832.571428
Lizzie,TRUE,696327658.619047
Eunice,TRUE,697754484.666666
Dovie,FALSE,699181310.714285
Vivian,TRUE,700608136.761904
Elva,FALSE,702034962.809523
Roberta,TRUE,703461788.857142
Eleanor,TRUE,704888614.904761
Golda,FALSE,706315440.95238
Lenora,TRUE,707742266.999999
Melda,Katie,709169093.047618
Celia,Thelma,710595919.095237
Frankie,TRUE,712022745.142856
Freda,FALSE,713449571.190475
Vela,Elise,714876397.238094
Mary,TRUE,716303223.285713
Elizabeth,Katie,717730049.333332
Dorothy,Thelma,719156875.380951
Martha,TRUE,720583701.42857
Lillian,FALSE,722010527.476189
Lucille,Rebecca,723437353.523808
Catherine,TRUE,724864179.571427
Florence,TRUE,726291005.619047
Pauline,FALSE,727717831.666666
Susie,TRUE,729144657.714285
Betty,FALSE,730571483.761904
Agnes,TRUE,731998309.809523
Ellen,TRUE,733425135.857142
Iva,FALSE,734851961.904761
May,TRUE,736278787.95238
Gracie,Katie,737705613.999999
Addie,Thelma,739132440.047618
Violet,TRUE,740559266.095237
Jennie,FALSE,741986092.142856
Allie,Elise,743412918.190475
Fanny,TRUE,744839744.238094
Marion,Katie,746266570.285713
Cornelia,Thelma,747693396.333332
Garnet,TRUE,749120222.380951
Dessie,FALSE,750547048.42857
Lura,Elise,751973874.476189
Beatrice,TRUE,753400700.523808
Alice,Katie,754827526.571427
Emma,Thelma,756254352.619047
Pearl,TRUE,757681178.666666
Willie,FALSE,759108004.714285
Rosie,Rebecca,760534830.761904
Beulah,TRUE,761961656.809523
Eula,TRUE,763388482.857142
Georgia,FALSE,764815308.904761
Ellen,TRUE,766242134.95238
Lucy,FALSE,767668960.999999
Henrietta,TRUE,769095787.047618
Lydia,TRUE,770522613.095237
Estelle,FALSE,771949439.142856
Amy,TRUE,773376265.190475
Norma,Katie,774803091.238094
Eleanor,Thelma,776229917.285713
Lelia,TRUE,777656743.333332
Caroline,FALSE,779083569.380951
Bertie,Elise,780510395.42857
Antoinette,TRUE,781937221.476189
Janie,Katie,783364047.523808
Winnie,Thelma,784790873.571427
Nola,TRUE,786217699.619046
Odile,FALSE,787644525.666666
Eugenia,Rebecca,789071351.714285
Lenora,TRUE,790498177.761904
Lovenia,TRUE,791925003.809523
Birdie,FALSE,793351829.857142
Hannah,TRUE,794778655.904761
Loretta,FALSE,796205481.95238
Rosia,TRUE,797632307.999999
Celina,TRUE,799059134.047618
Clothilde,FALSE,800485960.095237
Clotile,TRUE,801912786.142856
Jean,Katie,803339612.190475
Leonie,Thelma,804766438.238094
Lue,TRUE,806193264.285713
Madge,FALSE,807620090.333332
Mary,Elise,809046916.380951
Florence,TRUE,810473742.42857
Viola,Katie,811900568.476189
Alma,Thelma,813327394.523808
Bernice,TRUE,814754220.571427
Effie,FALSE,816181046.619046
Katie,Rebecca,817607872.666666
Aline,TRUE,819034698.714285
Vivian,TRUE,820461524.761904
Rachel,FALSE,821888350.809523
Doris,TRUE,823315176.857142
Lottie,FALSE,824742002.904761
Josie,TRUE,826168828.95238
Albertha,TRUE,827595654.999999
Maria,FALSE,829022481.047618
Corine,TRUE,830449307.095237
Lessie,Katie,831876133.142856
Augustine,Thelma,833302959.190475
Lucile,TRUE,834729785.238094
Angeline,FALSE,836156611.285713
Gertie,Elise,837583437.333332
Jewel,TRUE,839010263.380951
Odelia,Katie,840437089.42857
Augusta,Thelma,841863915.476189
Corrine,TRUE,843290741.523808
Elia,FALSE,844717567.571427
Elvira,Elise,846144393.619046
Elda,TRUE,847571219.666665
Marceline,Katie,848998045.714285
Althea,Thelma,850424871.761904
Artie,TRUE,851851697.809523
Idella,FALSE,853278523.857142
Miriam,Rebecca,854705349.904761
Tressie,TRUE,856132175.95238
Alice,TRUE,857559001.999999
Florence,FALSE,858985828.047618
Beatrice,TRUE,860412654.095237
Marjorie,FALSE,861839480.142856
Marguerite,TRUE,863266306.190475
Blanche,TRUE,864693132.238094
Charlotte,FALSE,866119958.285713
Pauline,TRUE,867546784.333332
Veronica,Katie,868973610.380951
Claire,Thelma,870400436.42857
Isabelle,TRUE,871827262.476189
Germaine,FALSE,873254088.523808
Christine,Elise,874680914.571427
Edythe,TRUE,876107740.619046
Patricia,Katie,877534566.666665
Gwendolyn,Thelma,878961392.714285
Joan,TRUE,880388218.761904
Winnifred,FALSE,881815044.809523
Juliette,Rebecca,883241870.857142
Edna,TRUE,884668696.904761
Barbara,TRUE,886095522.95238
Harriet,FALSE,887522348.999999
Loretta,TRUE,888949175.047618
Hilda,FALSE,890376001.095237
Kathleen,TRUE,891802827.142856
Betty,TRUE,893229653.190475
Myrtle,FALSE,894656479.238094
Jeanette,TRUE,896083305.285713
Sadie,Katie,897510131.333332
Janet,Thelma,898936957.380951
Lydia,TRUE,900363783.42857
Stephanie,FALSE,901790609.476189
Susan,Elise,903217435.523808
Carmela,TRUE,904644261.571427
Marcella,Katie,906071087.619046
Albina,Thelma,907497913.666665
Evangeline,TRUE,908924739.714284
Eve,FALSE,910351565.761904
Inez,Rebecca,911778391.809523
Molly,TRUE,913205217.857142
Sue,TRUE,914632043.904761
Dorothy,FALSE,916058869.95238
Evelyn,TRUE,917485695.999999
Sarah,FALSE,918912522.047618
Myrtle,TRUE,920339348.095237
Lillie,TRUE,921766174.142856
Marion,FALSE,923193000.190475
Pauline,TRUE,924619826.238094
Madeline,Katie,926046652.285713
Lucille,Thelma,927473478.333332
Alma,TRUE,928900304.380951
Elva,FALSE,930327130.42857
Jane,Elise,931753956.476189
Estelle,TRUE,933180782.523808
Adele,Katie,934607608.571427
Janet,Thelma,936034434.619046
Grace,TRUE,937461260.666665
Virginia,FALSE,938888086.714284
Hazel,Elise,940314912.761904
Loretta,TRUE,941741738.809522
Sara,Katie,943168564.857142
Anne,Thelma,944595390.904761
Kathleen,TRUE,946022216.95238
Freda,FALSE,947449042.999999
Dorothea,Rebecca,948875869.047618
Ethel,TRUE,950302695.095237
Virginia,TRUE,951729521.142856
Marguerite,FALSE,953156347.190475
Annie,TRUE,954583173.238094
Irma,FALSE,956009999.285713
Olive,TRUE,957436825.333332
Minnie,TRUE,958863651.380951
Helen,FALSE,960290477.42857
Margaret,TRUE,961717303.476189
Elizabeth,Katie,963144129.523808
Evelyn,Thelma,964570955.571427
Marion,TRUE,965997781.619046
Katherine,FALSE,967424607.666665
Rita,Elise,968851433.714284
Florence,TRUE,970278259.761903
Hazel,Katie,971705085.809522
Josephine,Thelma,973131911.857142
Thelma,TRUE,974558737.904761
Mabel,FALSE,975985563.95238
Kathryn,Rebecca,977412389.999999
Blanche,TRUE,978839216.047618
Jessie,TRUE,980266042.095237
Sarah,FALSE,981692868.142856
Verna,TRUE,983119694.190475
Lola,FALSE,984546520.238094
Estelle,TRUE,985973346.285713
Carol,TRUE,987400172.333332
Annie,FALSE,988826998.380951
Eloise,TRUE,990253824.42857
Loraine,Katie,991680650.476189
Millie,Thelma,993107476.523808
Helen,TRUE,994534302.571427
Ruth,FALSE,995961128.619046
Marian,Elise,997387954.666665
Theresa,TRUE,998814780.714283
Erma,Katie,1000241606.7619
Harriet,Thelma,1001668432.80952
Velma,TRUE,1003095258.85714
Eileen,FALSE,1004522084.90476
Kathleen,Rebecca,1005948910.95238
Lila,TRUE,1007375737
Cecilia,TRUE,1008802563.04761
Sadie,FALSE,1010229389.09523
Flora,TRUE,1011656215.14285
Iva,FALSE,1013083041.19047
Nora,TRUE,1014509867.23809
Shirley,TRUE,1015936693.28571
Georgia,FALSE,1017363519.33333
Etta,TRUE,1018790345.38095
Patricia,Katie,1020217171.42857
Joanna,Thelma,1021643997.47619
Linda,TRUE,1023070823.52381
Estella,FALSE,1024497649.57142
Harriette,Elise,1025924475.61904
Merle,TRUE,1027351301.66666
Nona,Katie,1028778127.71428
Ruth,Thelma,1030204953.7619
Alice,TRUE,1031631779.80952
Viola,FALSE,1033058605.85714
Ruby,Elise,1034485431.90476
Josephine,TRUE,1035912257.95238
Alma,Katie,1037339084
Beatrice,Thelma,1038765910.04761
Inez,TRUE,1040192736.09523
Phyllis,FALSE,1041619562.14285
Lorraine,Rebecca,1043046388.19047
Regina,TRUE,1044473214.23809
Lucy,TRUE,1045900040.28571
Nina,FALSE,1047326866.33333
Veronica,TRUE,1048753692.38095
Lily,FALSE,1050180518.42857
Tillie,TRUE,1051607344.47619
Annette,TRUE,1053034170.52381
Evelyn,FALSE,1054460996.57142
Mabel,TRUE,1055887822.61904
Rose,Katie,1057314648.66666
Elizabeth,Thelma,1058741474.71428
Pearl,TRUE,1060168300.7619
Catherine,FALSE,1061595126.80952
Elsie,Elise,1063021952.85714
Bertha,TRUE,1064448778.90476
Marian,Katie,1065875604.95238
Kathryn,Thelma,1067302431
Nora,TRUE,1068729257.04761
Beulah,FALSE,1070156083.09523
Selma,Rebecca,1071582909.14285
Ina,TRUE,1073009735.19047
Freda,TRUE,1074436561.23809
Kathleen,FALSE,1075863387.28571
Erna,TRUE,1077290213.33333
Adelaide,FALSE,1078717039.38095
Angeline,TRUE,1080143865.42857
Elvira,TRUE,1081570691.47619
Hildegarde,FALSE,1082997517.5238
Linda,TRUE,1084424343.57142
Meta,Katie,1085851169.61904
Myra,Thelma,1087277995.66666
Opal,TRUE,1088704821.71428
Teresa,FALSE,1090131647.7619
Mary,Elise,1091558473.80952
Helen,TRUE,1092985299.85714
Anna,Katie,1094412125.90476
Ethel,Thelma,1095838951.95238
Catherine,TRUE,1097265778
Gertrude,FALSE,1098692604.04761
Alma,Rebecca,1100119430.09523
Velma,TRUE,1101546256.14285
Sarah,TRUE,1102973082.19047
Ann,FALSE,1104399908.23809
Vivian,TRUE,1105826734.28571
Ellen,FALSE,1107253560.33333
Freda,TRUE,1108680386.38095
Nancy,TRUE,1110107212.42857
Jewel,FALSE,1111534038.47619
Effie,TRUE,1112960864.5238
Aileen,Katie,1114387690.57142
Melba,Thelma,1115814516.61904
Rosa,TRUE,1117241342.66666
Ora,FALSE,1118668168.71428
Celeste,Elise,1120094994.7619
Estella,TRUE,1121521820.80952
Helene,Katie,1122948646.85714
Hester,Thelma,1124375472.90476
Laverne,TRUE,1125802298.95238
Carmen,FALSE,1127229125
Elda,Elise,1128655951.04761
Sara,TRUE,1130082777.09523
Aline,Katie,1131509603.14285
Lura,Thelma,1132936429.19047
Clarice,TRUE,1134363255.23809
Augusta,FALSE,1135790081.28571
Francis,Rebecca,1137216907.33333
Jeannette,TRUE,1138643733.38095
Kate,TRUE,1140070559.42857
Selma,FALSE,1141497385.47619
Marie,TRUE,1142924211.5238
Margaret,FALSE,1144351037.57142
Pearl,TRUE,1145777863.61904
Juanita,TRUE,1147204689.66666
Alta,FALSE,1148631515.71428
Lola,TRUE,1150058341.7619
Eunice,Katie,1151485167.80952
Daisy,Thelma,1152911993.85714
Adele,TRUE,1154338819.90476
Lydia,FALSE,1155765645.95238
Mollie,Elise,1157192472
Bonnie,TRUE,1158619298.04761
Caroline,Katie,1160046124.09523
Susan,Thelma,1161472950.14285
Lottie,TRUE,1162899776.19047
Anita,FALSE,1164326602.23809
Isabelle,Rebecca,1165753428.28571
Willa,TRUE,1167180254.33333
Alyce,TRUE,1168607080.38095
Eugenia,FALSE,1170033906.42857
Blanch,TRUE,1171460732.47619
Harriett,FALSE,1172887558.5238
Lilly,TRUE,1174314384.57142
Golda,TRUE,1175741210.61904
Roxie,FALSE,1177168036.66666
Garnet,TRUE,1178594862.71428
Melva,Katie,1180021688.7619
Norine,Thelma,1181448514.80952
Ida,TRUE,1182875340.85714
Fannie,FALSE,1184302166.90476
Alberta,Elise,1185728992.95238
Pearl,TRUE,1187155819
